"Source","Target"
"Camp Rock","https://www.rottentomatoes.com/m/palm_springs_2020"
"Camp Rock","https://www.rottentomatoes.com/m/luca_2021"
"Camp Rock","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"Camp Rock","https://www.rottentomatoes.com/m/teen_beach_movie"
"Camp Rock","https://www.rottentomatoes.com/m/theater_camp"
"Camp Rock","https://www.rottentomatoes.com/m/high_school_musical_2"
"Camp Rock","https://www.rottentomatoes.com/m/lilo_and_stitch"
"Camp Rock","https://www.rottentomatoes.com/m/sandlot"
"Camp Rock","https://www.rottentomatoes.com/m/vacation_friends"
"Camp Rock","https://www.rottentomatoes.com/m/camp_rock"
"Camp Rock","https://www.rottentomatoes.com/m/the-cheetah-girls-2"
"Camp Rock","https://www.rottentomatoes.com/m/camp-rock-2"
"Camp Rock","https://www.rottentomatoes.com/m/sharpays_fabulous_adventure"
"Camp Rock","https://www.rottentomatoes.com/m/lemonade_mouth_2011"
"Camp Rock","https://www.rottentomatoes.com/m/freaky_friday_2018"
