"Primary_Genre","Male_Gross","Female_Gross"
"Action",111183214.848057,101471428.571429
"Adventure",101769611.47541,51750000
"Biography",19032412.2807018,19161547.3684211
"Comedy",29269352.0958606,17586861.8705036
"Crime",23199071.5027027,5254957.14285714
"Documentary",5417560,2613840
"Drama",11892954.8752363,6983031.41592921
"Fantasy",92225832.2580645,15200000
"History",27462508.1081081,7708233.33333333
"Holiday",37361585.7142857,18933333.3333333
"Horror",31797608.1259259,24075850
"Kids & Family",76961815.4105572,45140244
"Musical",39169746.6666667,62885714.2857143
"Mystery & Thriller",29476608.1784387,16453084.2105263
"Romance",27026158.2740525,22373206.25
"Sci-Fi",108355491.452991,7682450
"War",40016931.0344828,1100000
"Western",33166125,161000
